date,rain_Paranagua_PR,temp_Paranagua_PR,rain_MatoGrosso_MT,temp_MatoGrosso_MT,rain_Goias_GO,temp_Goias_GO,rain_MatoGrossoSul_MS,temp_MatoGrossoSul_MS,rain_RioGrandeSul_RS,temp_RioGrandeSul_RS
2015-01-01,2.27,27.26,0.05,25.56,1.78,25.15,0.02,25.38,15.77,24.83
2015-01-02,7.41,26.73,2.71,26.29,0.54,25.47,1.8,25.23,4.21,21.0
2015-01-03,11.28,21.58,0.56,24.67,19.66,24.16,2.54,25.23,0.0,21.89
2015-01-04,14.18,22.83,17.06,25.08,2.0,22.63,16.99,25.39,0.05,23.19
2015-01-05,8.53,23.33,2.87,25.64,0.04,24.12,5.06,24.18,0.12,24.05
2015-01-06,5.21,24.02,2.73,24.88,0.25,24.72,2.5,24.69,14.25,26.68
2015-01-07,4.08,25.44,0.84,25.48,0.04,24.71,0.16,25.32,11.58,26.64
2015-01-08,0.69,25.98,2.93,26.18,0.11,24.87,9.35,25.36,19.43,23.98
2015-01-09,0.67,27.51,9.78,25.73,0.01,24.81,0.16,24.62,7.86,25.63
2015-01-10,1.02,26.42,1.77,24.83,0.0,25.62,0.0,26.93,9.28,25.91
2015-01-11,3.64,27.06,2.17,24.33,0.05,26.37,0.03,26.63,2.57,25.96
2015-01-12,5.4,27.92,0.62,24.82,0.67,26.53,5.86,27.31,0.06,27.1
2015-01-13,18.02,25.99,2.96,24.98,1.35,25.97,6.63,25.85,15.51,27.47
2015-01-14,9.99,26.07,5.93,25.49,3.43,25.55,6.59,25.32,9.71,25.35
2015-01-15,2.11,24.71,12.41,25.82,0.36,25.38,14.0,25.42,2.61,22.66
2015-01-16,0.9,25.96,3.79,25.3,0.0,25.39,10.3,25.86,5.12,23.99
2015-01-17,4.79,26.16,0.69,24.4,0.07,25.37,0.13,26.71,8.12,24.43
2015-01-18,6.78,26.48,3.16,24.25,0.1,26.5,1.03,26.37,0.86,24.96
2015-01-19,7.07,25.71,1.65,25.14,0.01,27.86,8.2,27.72,5.93,25.99
2015-01-20,13.05,25.72,0.1,23.81,0.09,27.57,7.14,26.98,7.89,23.86
2015-01-21,5.21,23.85,0.01,25.28,2.52,27.0,9.25,25.65,0.51,21.54
2015-01-22,12.08,21.39,4.86,24.59,8.7,24.89,15.54,25.4,0.07,20.39
2015-01-23,0.74,21.61,11.99,24.45,3.11,23.52,5.18,24.9,0.0,21.72
2015-01-24,0.48,23.6,1.1,24.53,5.22,23.39,0.06,25.5,3.84,23.03
2015-01-25,6.62,24.22,7.44,22.88,9.77,21.59,0.15,24.86,0.86,25.5
2015-01-26,0.86,25.58,16.36,23.72,2.86,22.76,2.0,23.91,2.04,26.05
2015-01-27,2.56,25.99,5.55,24.6,6.84,23.64,6.76,23.21,8.08,26.0
2015-01-28,5.17,25.95,7.77,24.13,3.92,23.66,8.19,24.17,16.26,25.46
2015-01-29,11.01,26.12,0.12,25.48,3.35,22.81,13.87,23.63,6.34,21.69
2015-01-30,9.38,20.26,0.16,26.86,1.97,24.76,4.39,24.03,0.02,20.3
2015-01-31,3.72,20.79,8.16,27.18,0.27,25.98,0.0,24.66,0.06,21.04
2015-02-01,1.21,22.72,6.34,25.32,0.03,26.0,0.41,25.94,0.03,24.11
2015-02-02,1.25,23.52,0.2,24.38,4.51,25.14,0.06,26.35,0.01,25.46
2015-02-03,20.45,23.78,5.94,25.44,3.35,25.24,0.73,26.01,0.02,25.0
2015-02-04,10.09,22.73,4.65,25.24,2.67,23.12,3.03,24.7,0.5,24.63
2015-02-05,35.8,21.75,12.62,24.37,10.46,22.54,0.32,24.92,0.1,23.48
2015-02-06,14.27,22.24,37.5,23.4,9.98,21.92,5.96,25.47,0.52,22.77
2015-02-07,14.86,23.06,4.31,23.91,48.11,21.55,0.06,25.01,0.04,21.85
2015-02-08,8.06,23.14,5.26,23.1,21.12,21.59,0.34,25.72,0.0,22.61
2015-02-09,0.39,23.94,0.78,24.54,12.56,22.21,10.3,25.5,1.95,24.51
2015-02-10,1.09,24.63,0.1,24.76,16.4,22.56,2.27,25.4,9.76,26.3
2015-02-11,2.17,26.21,0.1,24.02,1.52,22.89,21.17,24.71,15.75,25.52
2015-02-12,3.42,25.87,0.02,25.93,0.13,24.71,8.78,25.07,0.02,24.95
2015-02-13,17.97,25.07,0.92,24.91,2.27,24.65,0.86,25.56,0.0,24.68
2015-02-14,61.51,22.16,0.94,26.35,1.02,24.38,0.24,25.86,0.0,23.14
2015-02-15,32.91,20.1,0.19,25.25,7.76,23.93,6.43,24.9,0.0,22.26
2015-02-16,5.43,20.75,1.57,25.8,8.68,23.92,19.36,23.96,0.46,21.98
2015-02-17,22.88,20.53,2.84,25.31,11.75,23.21,12.18,23.09,2.58,22.4
2015-02-18,13.14,22.43,7.12,24.39,6.05,22.39,7.94,23.71,0.03,23.96
2015-02-19,12.63,24.15,16.15,23.26,20.03,22.22,6.69,24.19,11.38,25.18
2015-02-20,16.29,24.76,9.63,23.96,13.63,22.13,0.75,24.92,1.43,23.36
2015-02-21,27.35,24.0,15.62,23.5,3.62,22.88,0.11,24.27,0.25,24.12
2015-02-22,0.29,23.9,6.73,25.16,0.03,23.27,0.05,24.57,5.42,24.81
